Before,Shortly After,After
33,28,30
34,24,30
32,34,27
32,34,30
26,37,25
22,23,28
31,32,28
34,26,28
31,27,36
32,26,28
37,34,36
29,26,25
27,30,29
29,34,35
30,28,35
31,20,29
30,30,32
36,26,27
35,32,30
32,22,25
34,25,28
35,28,29
34,24,36
28,31,26
26,28,29
34,21,30
30,34,33
33,28,34
26,29,32
28,28,24
24,32,28
35,30,32
34,29,34
34,32,31
38,26,20
43,27,32
27,25,27
27,29,26
26,24,32
28,30,26
24,26,27
33,31,34
24,28,29
34,33,34
27,26,29
31,23,27
26,23,28
22,29,26
29,27,33
31,36,26
29,28,28
30,29,33
35,32,27
29,24,38
30,21,36
24,25,27
36,24,24
28,24,29
36,29,28
30,28,26
28,28,28
31,26,35
28,28,35
22,29,24
38,32,31
26,25,33
28,28,27
29,26,29
27,29,33
29,22,35
25,24,30
37,28,32
36,22,29
25,30,26
32,19,30
24,30,25
26,32,31
27,24,30
29,26,33
28,28,29
26,27,32
28,28,28
26,30,34
26,24,33
28,23,29
26,33,30
28,34,26
32,26,28
35,26,31
24,29,30
30,28,26
27,27,30
30,36,29
33,29,28
31,24,35
31,25,34
28,27,33
25,23,25
29,25,31
33,36,33
