Student ID,Employability (Before),Employability (After),Difference
1,252,276,24
2,423,410,-13
3,101,119,18
4,288,334,46
5,248,252,4
6,145,209,64
7,401,462,61
8,287,342,55
9,275,347,72
10,254,313,59
11,182,232,50
12,117,163,46
13,130,119,-11
14,219,304,85
15,152,211,59
16,228,286,58
17,62,122,60
18,393,443,50
19,277,366,89
20,206,244,38
21,229,241,12
22,182,237,55
23,98,122,24
24,125,129,4
25,164,236,72
26,186,251,65
27,235,283,48
28,184,225,41
29,76,102,26
30,126,180,54
31,183,247,64
32,242,343,101
33,207,283,76
34,181,253,72
35,239,263,24
36,216,291,75
37,289,368,79
38,213,206,-7
39,209,231,22
40,376,389,13
41,332,396,64
42,249,339,90
43,228,286,58
44,124,146,22
45,194,315,121
46,157,183,26
47,402,481,79
48,323,349,26
49,181,225,44
50,157,217,60
51,266,353,87
52,268,314,46
53,167,247,80
54,342,410,68
55,349,395,46
56,340,416,76
57,227,342,115
58,409,446,37
59,400,477,77
60,374,444,70
61,255,351,96
62,146,165,19
63,248,317,69
64,198,250,52
65,210,217,7
66,107,138,31
67,239,302,63
68,287,311,24
69,340,373,33
70,155,196,41
71,263,306,43
72,265,302,37
73,249,278,29
74,377,429,52
75,301,338,37
76,242,261,19
77,211,256,45
78,160,183,23
79,218,274,56
80,133,182,49
81,122,183,61
82,236,309,73
83,143,178,35
84,354,458,104
85,214,234,20
86,225,306,81
87,261,400,139
88,277,337,60
89,282,325,43
90,322,329,7
91,326,369,43
92,421,457,36
93,368,421,53
94,279,282,3
95,268,256,-12
